sta_no;year;month;day;hour;minutes;temp;precipitation;pressure;relative_humidity
18397;2017;7;26;18;0;23.9;0;1003;94
18397;2017;7;26;18;15;23.9;0;1003.1;95
18397;2017;7;26;18;30;23.8;0;1003.2;96
18397;2017;7;26;18;45;23.8;0;1003.2;96
18397;2017;7;26;19;0;23.6;0;1003.2;96
18397;2017;7;26;19;15;23.2;0;1003.1;97
18397;2017;7;26;19;30;23.2;0;1003.1;97
18397;2017;7;26;19;45;23.1;0;1003.1;98
18397;2017;7;26;20;0;23;0;1003.1;98
18397;2017;7;26;20;15;22.8;0;1003;98
18397;2017;7;26;20;30;22.5;0;1003;98
18397;2017;7;26;20;45;22.4;0;1003;99
18397;2017;7;26;21;0;22.2;0;1003;99
18397;2017;7;26;21;15;22.3;0;1003;99
18397;2017;7;26;21;30;22.2;0;1003.1;99
18397;2017;7;26;21;45;21.7;0;1003.1;99
18397;2017;7;26;22;0;21.9;0;1003.2;99
18397;2017;7;26;22;15;21.7;0;1003.3;99
18397;2017;7;26;22;30;21.6;0;1003.3;99
18397;2017;7;26;22;45;22.2;0;1003.4;100
18397;2017;7;26;23;0;22.2;0;1003.4;100
18397;2017;7;26;23;15;22.1;0;1003.5;100
18397;2017;7;26;23;30;22.3;0;1003.4;100
18397;2017;7;26;23;45;22.5;0;1003.4;100
18397;2017;7;27;0;0;22.3;0;1003.4;100
18397;2017;7;27;0;15;22.2;0;1003.2;100
18397;2017;7;27;0;30;22.5;0;1003.2;100
18397;2017;7;27;0;45;22.6;0;1003.2;100
18397;2017;7;27;1;0;22.6;0;1003.3;100
18397;2017;7;27;1;15;22.6;0;1003.4;100
18397;2017;7;27;1;30;22.6;0;1003.2;100
18397;2017;7;27;1;45;22.7;0;1003.2;100
18397;2017;7;27;2;0;22.6;0;1003.3;100
18397;2017;7;27;2;15;22.5;0;1003.2;100
18397;2017;7;27;2;30;22.6;0;1003.2;100
18397;2017;7;27;2;45;22.5;0;1003.1;100
18397;2017;7;27;3;0;22.5;0;1003.1;100
18397;2017;7;27;3;15;22.4;0;1003;100
18397;2017;7;27;3;30;22.5;0;1003.1;100
18397;2017;7;27;3;45;22.4;0;1003.3;100
18397;2017;7;27;4;0;22.5;0;1003.4;100
18397;2017;7;27;4;15;22.6;0;1003.5;100
18397;2017;7;27;4;30;23;0;1003.5;100
18397;2017;7;27;4;45;23.2;0;1003.5;100
18397;2017;7;27;5;0;24.2;0;1003.6;100
18397;2017;7;27;5;15;25.1;0;1003.5;97
18397;2017;7;27;5;30;25.5;0;1003.4;84
18397;2017;7;27;5;45;26.1;0;1003.3;82
18397;2017;7;27;6;0;27.1;0;1003.3;79
18397;2017;7;27;6;15;26.9;0;1003.3;78
18397;2017;7;27;6;30;27.6;0;1003.3;78
18397;2017;7;27;6;45;28;0;1003.2;76
18397;2017;7;27;7;0;28.4;0;1003.1;76
18397;2017;7;27;7;15;28.5;0;1003.1;75
18397;2017;7;27;7;30;29.3;0;1003;73
18397;2017;7;27;7;45;30.2;0;1002.9;65
18397;2017;7;27;8;0;30.1;0;1002.8;57
18397;2017;7;27;8;15;30.1;0;1002.8;60
18397;2017;7;27;8;30;30.4;0;1002.8;53
18397;2017;7;27;8;45;30.4;0;1002.8;52
18397;2017;7;27;9;0;30.8;0;1002.9;51
18397;2017;7;27;9;15;30.9;0;1002.8;51
18397;2017;7;27;9;30;31;0;1002.6;50
18397;2017;7;27;9;45;31.5;0;1002.6;53
18397;2017;7;27;10;0;31.2;0;1002.6;52
18397;2017;7;27;10;15;30.9;0;1002.4;57
18397;2017;7;27;10;30;30.9;0;1002.4;58
18397;2017;7;27;10;45;30.4;0;1002.3;59
18397;2017;7;27;11;0;30.4;0;1002.1;60
18397;2017;7;27;11;15;30;0;1001.9;61
18397;2017;7;27;11;30;29.2;0;1001.9;65
18397;2017;7;27;11;45;29.5;0;1001.7;66
18397;2017;7;27;12;0;29.4;0;1001.6;67
18397;2017;7;27;12;15;29.3;0;1001.3;66
18397;2017;7;27;12;30;29.6;0;1001.2;68
18397;2017;7;27;12;45;28.8;0;1001.3;70
18397;2017;7;27;13;0;29;0;1001.1;68
18397;2017;7;27;13;15;29;0;1001.2;69
18397;2017;7;27;13;30;29.2;0;1001.3;69
18397;2017;7;27;13;45;28.4;0;1001.5;71
18397;2017;7;27;14;0;27.8;0;1001.6;72
18397;2017;7;27;14;15;27.4;0;1001.6;72
18397;2017;7;27;14;30;26.6;0;1001.5;77
18397;2017;7;27;14;45;26.2;0;1001.2;79
18397;2017;7;27;15;0;25.8;0;1001.1;80
18397;2017;7;27;15;15;25.6;0;1001;82
18397;2017;7;27;15;30;25.4;0;1000.9;84
18397;2017;7;27;15;45;24.2;0;1001.8;79
18397;2017;7;27;16;0;19.2;7.01;1003.7;99
18397;2017;7;27;16;15;19.5;8.8;1003.2;100
18397;2017;7;27;16;30;20.1;0.25;1003.1;100
18397;2017;7;27;16;45;20.8;0;1003.7;100
18397;2017;7;27;17;0;21.2;1.13;-9999;100
18397;2017;7;27;17;15;21.4;0.02;1005.6;100
18397;2017;7;27;17;30;21.4;1.25;1005.4;100
18397;2017;7;27;17;45;21.4;2.75;1005.1;100
18397;2017;7;27;18;0;21.2;0;1005.1;100
18397;2017;7;27;18;15;21;0;-9999;100
18397;2017;7;27;18;30;20.8;0;1006.3;100
18397;2017;7;27;18;45;20.9;0;-9999;100
18397;2017;7;27;19;0;20.8;0.19;1005.7;100
18397;2017;7;27;19;15;20.7;0;1006.2;100
18397;2017;7;27;19;30;20.8;0.2;1003.6;100
18397;2017;7;27;19;45;20.8;0.22;1003.7;100
18397;2017;7;27;20;0;20.9;0;-9999;100
18397;2017;7;27;20;15;20.6;0;-9999;100
18397;2017;7;27;20;30;20.6;0;1005.1;100
18397;2017;7;27;20;45;20.5;0;1005.6;100
18397;2017;7;27;21;0;20.7;0;1005.5;100
18397;2017;7;27;21;15;20.8;0;1005.7;100
18397;2017;7;27;21;30;20.4;0;1005.6;100
18397;2017;7;27;21;45;20.4;0;1005.8;100
18397;2017;7;27;22;0;20.6;0;1005.8;100
18397;2017;7;27;22;15;20.5;0;1005.9;100
18397;2017;7;27;22;30;20.4;0;1006;100
18397;2017;7;27;22;45;20.5;0;1005.9;100
18397;2017;7;27;23;0;20.5;0;1005.9;100
18397;2017;7;27;23;15;20.6;0;1005.9;100
18397;2017;7;27;23;30;20.5;0;1006;100
18397;2017;7;27;23;45;20.5;0;1006;100
18397;2017;7;28;0;0;20.4;0;1006;100
